time,car_id,type,x,y,zone_id,None
62,2,van,1124.5,648,2,-1
62,5,van,895,736,2,-1
62,7,van,1700,743.5,2,-1
62,21,van,1338.5,639,2,-1
62,29,van,982,948.5,1,-1
62,63,van,1492.5,688,2,-1
62,70,van,1967.5,648.5,2,-1
63,1,van,1194,738.5,2,-1
63,2,van,1118.5,648,2,-1
63,5,van,887.5,736,2,-1
63,7,van,1692.5,745,2,-1
63,21,van,1332,639,2,-1
63,29,van,992,948.5,1,-1
63,55,van,207,997.5,1,-1
63,63,van,1487,688.5,2,-1
63,70,van,1962,648.5,2,-1
64,1,van,1188,739,2,-1
64,2,van,1114,647.5,2,-1
64,5,van,880,736,2,-1
64,7,van,1685.5,744,2,-1
64,21,van,1327,639.5,2,-1
64,29,van,1002,948.5,1,-1
64,55,van,215.5,997,1,-1
64,63,van,1481,688.5,2,-1
64,70,van,1953,649,2,-1
64,81,van,2164,743,2,-1
65,1,van,1182.5,738.5,2,-1
65,2,van,1107.5,648,2,-1
65,5,van,871.5,735,2,-1
65,7,van,1678,744.5,2,-1
65,21,van,1320.5,640,2,-1
65,29,van,1013,948.5,1,-1
65,55,van,224.5,998,1,-1
65,63,van,1474.5,686.5,2,-1
65,70,van,1945,649,2,-1
66,1,van,1174,737.5,2,-1
66,2,van,1100.5,648,2,-1
66,5,van,861,735,2,-1
66,7,van,1669.5,744.5,2,-1
66,21,van,1314.5,639,2,-1
66,55,van,232,998,1,-1
66,63,van,1467.5,687,2,-1
66,81,van,2151.5,743.5,2,-1
67,1,van,1166,737,2,-1
67,2,van,1094,649,2,-1
67,5,van,853,735.5,2,-1
67,7,van,1663,745.5,2,-1
67,21,van,1307,638,2,-1
67,55,van,239,999.5,1,-1
67,63,van,1460,687,2,-1
67,81,van,2143.5,743,2,-1
68,1,van,1158.5,737.5,2,-1
68,2,van,1086,649.5,2,-1
68,5,van,846,734.5,2,-1
68,7,van,1657.5,746,2,-1
68,21,van,1302,639,2,-1
68,55,van,245.5,999.5,1,-1
68,63,van,1453.5,687,2,-1
68,81,van,2137,743,2,-1
68,82,van,1919.5,647,2,-1
68,83,van,1045,949,1,-1
69,1,van,1151,737,2,-1
69,2,van,1079,649,2,-1
69,5,van,836.5,734.5,2,-1
69,7,van,1649.5,743.5,2,-1
69,21,van,1295,639.5,2,-1
69,55,van,254.5,1000.5,1,-1
69,63,van,1446.5,687.5,2,-1
69,81,van,2130,742.5,2,-1
69,82,van,1911.5,647.5,2,-1
69,83,van,1054.5,948,1,-1
70,1,van,1141,738,2,-1
70,2,van,1073.5,648.5,2,-1
70,5,van,828.5,734.5,2,-1
70,7,van,1641,743.5,2,-1
70,21,van,1287.5,639.5,2,-1
70,55,van,263.5,999,1,-1
70,63,van,1440,687.5,2,-1
70,81,van,2124,743.5,2,-1
70,82,van,1900.5,647.5,2,-1
70,83,van,1065.5,948,1,-1
71,1,van,1132,737.5,2,-1
71,2,van,1067,649,2,-1
71,5,van,821,734.5,2,-1
71,7,van,1634.5,743.5,2,-1
71,21,van,1280.5,639,2,-1
71,55,van,273,998.5,1,-1
71,63,van,1433,687.5,2,-1
71,81,van,2117.5,743,2,-1
71,82,van,1892,649.5,2,-1
71,83,van,1076.5,949,1,-1
72,1,van,1123.5,738,2,-1
72,2,van,1061.5,650,2,-1
72,5,van,812.5,734,2,-1
72,7,van,1630.5,744,2,-1
72,21,van,1274.5,638,2,-1
72,55,van,280.5,998.5,1,-1
72,63,van,1425.5,687.5,2,-1
72,81,van,2111,742.5,2,-1
72,82,van,1883.5,650,2,-1
72,83,van,1088.5,950,1,-1
73,1,van,1118,737,2,-1
73,2,van,1055.5,650.5,2,-1
73,5,van,804,733,2,-1
73,7,van,1624,743.5,2,-1
73,21,van,1267,638,2,-1
73,55,van,289.5,998,1,-1
73,63,van,1420.5,688,2,-1
73,81,van,2103.5,743,2,-1
73,82,van,1875.5,649.5,2,-1
73,83,van,1101.5,950,1,-1
74,1,van,1112.5,737,2,-1
74,2,van,1049.5,650,2,-1
74,7,van,1616.5,743,2,-1
74,21,van,1261.5,638.5,2,-1
74,55,van,296,997,1,-1
74,63,van,1415,688,2,-1
74,81,van,2096.5,743,2,-1
74,82,van,1866,648,2,-1
74,83,van,1111,950,1,-1
75,1,van,1104,737.5,2,-1
75,2,van,1043,650,2,-1
75,7,van,1607.5,741.5,2,-1
75,21,van,1255,638,2,-1
75,55,van,303.5,997,1,-1
75,63,van,1408,687,2,-1
75,81,van,2089.5,743.5,2,-1
75,82,van,1858,649,2,-1
75,83,van,1121,949,1,-1
76,1,van,1097,737.5,2,-1
76,2,van,1036,650,2,-1
76,7,van,1601,741.5,2,-1
76,21,van,1248,638.5,2,-1
76,55,van,309.5,997,1,-1
76,63,van,1400,687,2,-1
76,81,van,2083,743.5,2,-1
76,82,van,1850,648.5,2,-1
76,83,van,1130.5,949,1,-1
77,1,van,1085.5,737.5,2,-1
77,2,van,1030.5,651,2,-1
77,7,van,1594,742,2,-1
77,21,van,1239.5,638,2,-1
77,55,van,318,996.5,1,-1
77,63,van,1393,686.5,2,-1
77,81,van,2074.5,742.5,2,-1
77,82,van,1843.5,648.5,2,-1
77,83,van,1142,949,1,-1
78,1,van,1076.5,737.5,2,-1
78,2,van,1027,651,2,-1
78,7,van,1587,743.5,2,-1
78,21,van,1234,637.5,2,-1
78,55,van,326,997,1,-1
78,63,van,1387.5,686.5,2,-1
78,81,van,2066,741.5,2,-1
78,82,van,1833,648.5,2,-1
78,83,van,1153,950,1,-1
79,1,van,1068.5,737.5,2,-1
79,2,van,1022,650.5,2,-1
79,7,van,1580.5,743,2,-1
79,21,van,1226,637,2,-1
79,55,van,336,997,1,-1
79,63,van,1381,688,2,-1
79,81,van,2060,741,2,-1
79,82,van,1824.5,648,2,-1
79,83,van,1164,951,1,-1
80,1,van,1060.5,737.5,2,-1
80,2,van,1018,650,2,-1
80,7,van,1574,741.5,2,-1
80,21,van,1220,637.5,2,-1
80,55,van,344,997,1,-1
80,63,van,1373,687.5,2,-1
80,81,van,2053.5,743.5,2,-1
80,82,van,1816.5,648.5,2,-1
80,83,van,1173.5,951,1,-1
81,1,van,1054,738,2,-1
81,2,van,1006.5,650,2,-1
81,7,van,1567.5,742,2,-1
81,21,van,1214,637,2,-1
81,55,van,352.5,996.5,1,-1
81,63,van,1366,688,2,-1
81,81,van,2045.5,741.5,2,-1
81,83,van,1185,950,1,-1
82,1,van,1046,737.5,2,-1
82,2,van,998,649.5,2,-1
82,7,van,1560,742.5,2,-1
82,21,van,1205.5,635.5,2,-1
82,55,van,360.5,996,1,-1
82,63,van,1358,687.5,2,-1
82,81,van,2039,741.5,2,-1
82,83,van,1196.5,949,1,-1
83,1,van,1039,738,2,-1
83,2,van,992,649.5,2,-1
83,7,van,1553,742.5,2,-1
83,21,van,1199.5,635.5,2,-1
83,55,van,369,996.5,1,-1
